epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,9903.9,0.89126,0.49428,1.05977,0.87493,0.88655,0.91035,0.57448,1.19067,0.57263,1.27344,0.000270313,0.000270313,0.000270313
97,10000.2,0.88009,0.48775,1.05353,0.87003,0.88641,0.90459,0.57208,1.1888,0.57344,1.27335,0.00026,0.00026,0.00026
98,10096.3,0.87971,0.48847,1.04555,0.87162,0.88876,0.90988,0.57609,1.18249,0.57882,1.26664,0.000249687,0.000249687,0.000249687
99,10192.4,0.8699,0.48254,1.04586,0.87093,0.8962,0.90413,0.57739,1.17628,0.56759,1.27044,0.000239375,0.000239375,0.000239375
100,10288.7,0.86943,0.48044,1.04651,0.86296,0.88909,0.90149,0.57112,1.18425,0.57841,1.27658,0.000229063,0.000229063,0.000229063
101,10384.6,0.86067,0.47817,1.03741,0.85222,0.90482,0.90311,0.58084,1.17563,0.57149,1.2704,0.00021875,0.00021875,0.00021875
102,10481.1,0.8466,0.47,1.03164,0.87274,0.87963,0.90254,0.58216,1.1736,0.56796,1.2699,0.000208438,0.000208438,0.000208438
103,10577.2,0.84016,0.46604,1.03232,0.87508,0.8814,0.9039,0.58289,1.17041,0.57089,1.26778,0.000198125,0.000198125,0.000198125
104,10673.3,0.83198,0.46499,1.02932,0.88327,0.88011,0.90616,0.58364,1.16218,0.57069,1.27077,0.000187813,0.000187813,0.000187813
105,10769.6,0.83969,0.46448,1.0337,0.89853,0.87507,0.91236,0.58613,1.16276,0.57054,1.27021,0.0001775,0.0001775,0.0001775
106,10865.9,0.83143,0.46291,1.02836,0.88471,0.88316,0.91431,0.58892,1.15623,0.55583,1.26576,0.000167188,0.000167188,0.000167188
107,10962.1,0.81671,0.45226,1.02122,0.87788,0.89109,0.90604,0.58282,1.16098,0.56713,1.27262,0.000156875,0.000156875,0.000156875
108,11058,0.82582,0.46229,1.02441,0.88558,0.88305,0.90767,0.58849,1.15289,0.55592,1.26815,0.000146562,0.000146562,0.000146562
109,11154,0.81626,0.45264,1.02158,0.87895,0.89477,0.91406,0.59248,1.15135,0.556,1.26632,0.00013625,0.00013625,0.00013625
110,11250,0.81142,0.45219,1.02235,0.8802,0.89184,0.90922,0.59215,1.14949,0.55816,1.26366,0.000125938,0.000125938,0.000125938
111,11363.8,0.79582,0.40004,1.01501,0.8792,0.8833,0.90447,0.58585,1.15708,0.56856,1.26921,0.000115625,0.000115625,0.000115625
112,11459.8,0.77251,0.38873,1.0071,0.88322,0.87689,0.90713,0.58555,1.15435,0.57124,1.26702,0.000105312,0.000105312,0.000105312
113,11556.3,0.76198,0.38299,0.99967,0.88486,0.88267,0.91085,0.5891,1.15348,0.57008,1.27093,9.5e-05,9.5e-05,9.5e-05
114,11652.4,0.75847,0.37912,0.99841,0.88522,0.88685,0.91317,0.59233,1.15038,0.5655,1.26965,8.46875e-05,8.46875e-05,8.46875e-05
115,11748.6,0.74043,0.37429,0.99158,0.88546,0.88042,0.90847,0.59,1.14908,0.56757,1.2717,7.4375e-05,7.4375e-05,7.4375e-05
116,11844.4,0.7392,0.36977,0.99003,0.88983,0.88271,0.90938,0.59137,1.14511,0.56403,1.26866,6.40625e-05,6.40625e-05,6.40625e-05
117,11940.5,0.73328,0.36908,0.98707,0.87194,0.89637,0.90593,0.59268,1.13996,0.55958,1.26661,5.375e-05,5.375e-05,5.375e-05
118,12036.8,0.72834,0.36833,0.9861,0.8719,0.89867,0.9077,0.59535,1.13672,0.55747,1.26531,4.34375e-05,4.34375e-05,4.34375e-05
119,12133.2,0.71984,0.36497,0.98511,0.87542,0.89968,0.90966,0.59493,1.13689,0.55547,1.26752,3.3125e-05,3.3125e-05,3.3125e-05
120,12229.2,0.71727,0.36293,0.97943,0.87576,0.90198,0.91108,0.59724,1.13467,0.55643,1.26501,2.28125e-05,2.28125e-05,2.28125e-05
