epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,14108.9,1.11319,1.09136,1.25172,0.71533,0.50328,0.56634,0.35958,1.36417,1.36086,1.42614,0.006172,0.006172,0.006172
60,14219.2,1.12914,1.0802,1.26045,0.7202,0.51818,0.56938,0.3647,1.37238,1.33292,1.43623,0.006106,0.006106,0.006106
61,14372.7,1.07794,1.02465,1.23296,0.66597,0.49891,0.56027,0.36285,1.35668,1.3946,1.42992,0.00604,0.00604,0.00604
62,14483,1.07923,1.04085,1.21793,0.65902,0.49482,0.54882,0.35343,1.3534,1.44083,1.41744,0.005974,0.005974,0.005974
63,14738.5,1.11661,1.0602,1.23797,0.72529,0.47265,0.54838,0.36263,1.32712,1.31318,1.41757,0.005908,0.005908,0.005908
64,14889.8,1.0729,1.02161,1.21983,0.71754,0.47702,0.55943,0.3709,1.35413,1.31428,1.43115,0.005842,0.005842,0.005842
65,15191.1,1.07054,0.98199,1.21314,0.70046,0.49635,0.5665,0.3779,1.31029,1.33187,1.38163,0.005776,0.005776,0.005776
66,15524.5,1.08581,0.98109,1.22061,0.68454,0.51204,0.54383,0.35577,1.3483,1.34127,1.43609,0.00571,0.00571,0.00571
67,15783.4,1.06404,0.95677,1.21436,0.70936,0.50736,0.5666,0.37115,1.3524,1.35168,1.40369,0.005644,0.005644,0.005644
68,16034.4,1.04043,0.95414,1.19575,0.71534,0.52079,0.57736,0.37438,1.33322,1.41722,1.38492,0.005578,0.005578,0.005578
69,16269.9,1.0523,0.96886,1.20739,0.68639,0.49234,0.56172,0.37931,1.29703,1.34882,1.37244,0.005512,0.005512,0.005512
70,16577.9,1.02135,0.91981,1.1896,0.69046,0.52735,0.56238,0.36887,1.33783,1.38573,1.4047,0.005446,0.005446,0.005446
71,16811.5,1.05482,0.97378,1.20771,0.69522,0.50766,0.56318,0.37173,1.31279,1.4035,1.37378,0.00538,0.00538,0.00538
72,17034.7,1.03648,0.92678,1.19072,0.74191,0.50985,0.58582,0.38475,1.31544,1.31357,1.3861,0.005314,0.005314,0.005314
73,17331.9,1.04751,0.91924,1.18718,0.70056,0.51422,0.57216,0.36937,1.3457,1.41322,1.39406,0.005248,0.005248,0.005248
74,17507,1.03371,0.92444,1.1872,0.64938,0.55142,0.57158,0.3781,1.31748,1.34268,1.38364,0.005182,0.005182,0.005182
75,17801.8,1.0229,0.90323,1.18278,0.77067,0.50109,0.57838,0.38661,1.3167,1.39132,1.38532,0.005116,0.005116,0.005116
76,17954,1.01831,0.90415,1.18049,0.69447,0.5322,0.57227,0.37993,1.29553,1.32713,1.36935,0.00505,0.00505,0.00505
77,18181.8,1.01995,0.87051,1.1813,0.6454,0.51375,0.55,0.37502,1.31755,1.3706,1.36528,0.004984,0.004984,0.004984
78,18367.1,0.99176,0.87329,1.16433,0.69805,0.50082,0.56623,0.37638,1.32628,1.40879,1.38615,0.004918,0.004918,0.004918
79,18620.3,1.00147,0.87526,1.17287,0.69693,0.49891,0.5602,0.37525,1.29833,1.38803,1.37332,0.004852,0.004852,0.004852
80,18807.7,0.99949,0.88273,1.15795,0.68097,0.50766,0.5642,0.38013,1.28054,1.3135,1.37566,0.004786,0.004786,0.004786
81,19110.2,0.97816,0.83825,1.16933,0.68205,0.52735,0.56768,0.37392,1.31793,1.32024,1.39079,0.00472,0.00472,0.00472
82,19341,0.97184,0.8335,1.15792,0.7571,0.47702,0.5648,0.38077,1.30072,1.29551,1.38154,0.004654,0.004654,0.004654
83,19678.2,0.98941,0.83701,1.16321,0.72228,0.51641,0.57515,0.3881,1.27029,1.3013,1.35028,0.004588,0.004588,0.004588
84,19856.8,0.98521,0.80743,1.1603,0.71081,0.49234,0.55623,0.37651,1.28501,1.37098,1.35341,0.004522,0.004522,0.004522
85,20120.8,0.97004,0.81491,1.14415,0.68208,0.5258,0.57175,0.38674,1.30046,1.39118,1.37965,0.004456,0.004456,0.004456
86,20295.5,0.98246,0.81128,1.1496,0.74674,0.49681,0.56314,0.37454,1.30191,1.35144,1.39249,0.00439,0.00439,0.00439
87,20525.6,0.9591,0.80374,1.1463,0.74275,0.51641,0.57853,0.38761,1.27709,1.26814,1.36315,0.004324,0.004324,0.004324
88,20725.1,0.97343,0.82658,1.14515,0.76741,0.50547,0.57889,0.387,1.31946,1.29303,1.39029,0.004258,0.004258,0.004258
89,20994.7,0.94601,0.79086,1.13315,0.72078,0.51422,0.57086,0.38591,1.30306,1.32201,1.38727,0.004192,0.004192,0.004192
90,21449.6,0.93484,0.76895,1.13656,0.71915,0.53611,0.58191,0.38699,1.26963,1.32728,1.36606,0.004126,0.004126,0.004126
91,21881,0.94984,0.78035,1.14075,0.74325,0.50328,0.56459,0.37971,1.31754,1.34281,1.39252,0.00406,0.00406,0.00406
92,22025.7,0.9522,0.7784,1.13261,0.70274,0.5535,0.57932,0.3824,1.29679,1.41778,1.37329,0.003994,0.003994,0.003994
93,22288.7,0.93789,0.74329,1.11999,0.75964,0.51422,0.58249,0.38844,1.29128,1.36355,1.37725,0.003928,0.003928,0.003928
94,22489.6,0.93658,0.75569,1.12383,0.77762,0.50547,0.58375,0.38956,1.28538,1.37069,1.35621,0.003862,0.003862,0.003862
95,22757.9,0.92775,0.75391,1.12263,0.71158,0.52298,0.57246,0.38804,1.27615,1.36138,1.33942,0.003796,0.003796,0.003796
96,23026.8,0.91263,0.71362,1.11349,0.70663,0.53234,0.57421,0.39147,1.28631,1.36589,1.36616,0.00373,0.00373,0.00373
97,23212.6,0.9203,0.74779,1.11976,0.71453,0.52954,0.57547,0.38448,1.28839,1.30366,1.37772,0.003664,0.003664,0.003664
98,23393.7,0.91616,0.73918,1.10113,0.73982,0.52735,0.58903,0.39269,1.27433,1.27977,1.36824,0.003598,0.003598,0.003598
99,23686.3,0.90034,0.71555,1.10177,0.71433,0.56455,0.59224,0.39912,1.26442,1.29254,1.31952,0.003532,0.003532,0.003532
100,23955,0.88234,0.71731,1.09737,0.74601,0.50766,0.57649,0.38907,1.27357,1.33347,1.33145,0.003466,0.003466,0.003466
101,24228.6,0.90326,0.71627,1.10063,0.75076,0.49015,0.56732,0.3837,1.29987,1.34818,1.36407,0.0034,0.0034,0.0034
102,24437.1,0.90946,0.70967,1.10193,0.74025,0.52298,0.5772,0.39119,1.27729,1.34976,1.34784,0.003334,0.003334,0.003334
103,24701.6,0.90425,0.72424,1.09579,0.74617,0.51422,0.57762,0.39484,1.27735,1.34724,1.34963,0.003268,0.003268,0.003268
104,24941.3,0.88056,0.70341,1.10258,0.75643,0.50967,0.58272,0.39142,1.29379,1.36242,1.36023,0.003202,0.003202,0.003202
105,25244.5,0.88378,0.69129,1.08369,0.74517,0.5186,0.57626,0.39216,1.2688,1.32373,1.35007,0.003136,0.003136,0.003136
106,25563.7,0.86316,0.68083,1.07761,0.80008,0.51641,0.58927,0.39055,1.27335,1.30813,1.35812,0.00307,0.00307,0.00307
107,26069.2,0.85746,0.67594,1.07834,0.76733,0.49453,0.58091,0.39157,1.2592,1.3231,1.33821,0.003004,0.003004,0.003004
